Facility Name,Facility Type,location,contact,latitude,longitude
CVS,CVS Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78946,-122.40057
CVS,CVS Store,"351 California St, San Francisco, CA 94104",+1 415-243-0273,37.79284,-122.40073
CVS,CVS Store,"400 Sutter St, San Francisco, CA 94108",+1 415-398-2175,37.79284,-122.40727
CVS,CVS Store,"3600 Geary Blvd, San Francisco, CA 94118",+1 415-668-6083,37.7815,-122.45804
CVS,CVS Store,"701 Portola Dr, San Francisco, CA 94127",+1 415-504-6043,37.74424,-122.45325
CVS,CVS Store,"1101 Market St, San Francisco, CA 94103",+1 415-558-1538,37.7802,-122.41246
CVS,CVS Store,"1059 Hyde St, San Francisco, CA 94109",+1 415-346-6100,37.79059,-122.41773
CVS,CVS Store,"2025 Van Ness Ave, San Francisco, CA 94109",+1 415-353-5705,37.79424,-122.42352
CVS,CVS Store,"1900 19th Ave, San Francisco, CA 94116",+1 415-664-1834,37.75223,-122.4761
CVS,CVS Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78679,-122.4041
Walgreens,Walgreens Store,"135 Powell St, San Francisco, CA 94102",+1 415-391-7222,37.78604,-122.40811
Walgreens,Walgreens Store,"670 4th St, San Francisco, CA 94107",+1 415-856-0543,37.7771,-122.39529
Walgreens,Walgreens Store,"2120 Polk St, San Francisco, CA 94109",+1 415-474-9752,37.79638,-122.42164
Walgreens,Walgreens Store,"2120 Polk St, San Francisco, CA 94109",+1 415-292-6155,37.78279,-122.42056
Walgreens,Walgreens Store,"456 Mission St, San Francisco, CA 94105",+1 415-348-9600,37.78999,-122.39759
Walgreens,Walgreens Store,"1344 Stockton St, San Francisco, CA 94133",+1 415-981-6274,37.79819,-122.40854
Walgreens,Walgreens Store,"300 Montgomery St, San Francisco, CA 94104",+1 415-788-2984,37.79209,-122.40249
Walgreens,Walgreens Store,"88 Spear St, San Francisco, CA 94105",+1 415-856-0733,37.79252,-122.39441
Walgreens,Walgreens Store,"825 Market St, San Francisco, CA 94103",+1 415-543-9502,37.78513,-122.40626
Walgreens,Walgreens Store,"275 Sacramento St, San Francisco, CA 94111",+1 415-362-5227,37.79423,-122.39883
