facility_name,facility_type,location,contact,latitude,longitude
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78946,-122.40057
CVS,Drug Store,"351 California St, San Francisco, CA 94104",+1 415-243-0273,37.79284,-122.40073
CVS,Drug Store,"400 Sutter St, San Francisco, CA 94108",+1 415-398-2175,37.79284,-122.40727
CVS,Drug Store,"3600 Geary Blvd, San Francisco, CA 94118",+1 415-668-6083,37.7815,-122.45804
CVS,Drug Store,"701 Portola Dr, San Francisco, CA 94127",+1 415-504-6043,37.74424,-122.45325
CVS,Drug Store,"1101 Market St, San Francisco, CA 94103",+1 415-558-1538,37.7802,-122.41246
CVS,Drug Store,"1059 Hyde St, San Francisco, CA 94109",+1 415-346-6100,37.79059,-122.41773
CVS,Drug Store,"2025 Van Ness Ave, San Francisco, CA 94109",+1 415-353-5705,37.79424,-122.42352
CVS,Drug Store,"1900 19th Ave, San Francisco, CA 94116",+1 415-664-1834,37.75223,-122.4761
CVS,Drug Store,"731 Market St, San Francisco, CA 94103",+1 415-243-0273,37.78679,-122.4041
CVS,Drug Store,"799 Beach St, San Francisco, CA 94109",+1 415 561-0984,37.806348,-122.421885
CVS,Drug Store,"581 Market St, San Francisco, CA 94105",+1 415 777-1654,37.790985,-122.400637
CVS,Drug Store,"1 Jefferson St, San Francisco, CA 94133",+1 415 291-0268,37.808532,-122.412724
CVS,Drug Store,"601 Mission St, San Francisco, CA 94105",+1 415 442-4737,37.790846,-122.399718
CVS,Drug Store,"500 Pine St, San Francisco, CA 94108",+1 415 362-6318,37.79252,-122.40439
CVS,Drug Store,"377 32nd Ave, San Francisco, CA 94121",+1 415 666-3153,37.782133,-122.492882
CVS,Drug Store,"499 Haight St, San Francisco, CA 94117",+1 415 503-0722,37.773419,-122.43047
CVS,Drug Store,"225 Bush St #100, San Francisco, CA 94104",+1 415 365-0835,37.791337,-122.401064
CVS,Drug Store,"2675 Geary Blvd, San Francisco, CA 94118",+1 415 796-5281,37.782069,-122.446868
CVS,Drug Store,"789 Mission St, San Francisco, CA 94103",+1 415 343-6273,37.787436,-122.404072
CVS,Drug Store,"1830 Ocean Ave, San Francisco, CA 94112",+1 415 840-0524,37.732057,-122.459392
CVS,Drug Store,"233 Winston Dr, San Francisco, CA 94132",+1 415 664-1436,37.733686,-122.477931
CVS,Drug Store,"445 Castro St, San Francisco, CA 94114",+1 415 864-7030,37.767348,-122.435359
CVS,Drug Store,"595 Market St, San Francisco, CA 94105",NA,37.791905,-122.400683
CVS,Drug Store,"701 Van Ness Ave, San Francisco, CA 94102",+1 415 848-1088,37.783399,-122.420988
CVS,Drug Store,"399 Geary St, San Francisco, CA 94102",+1 415 268-9949,37.792855,-122.409266
CVS,Drug Store,"1690 Folsom St, San Francisco, CA 94103",+1 415 696-7715,37.776846,-122.415103
